"S18","W02","S18.1","W03","W02.1","W03.1","S18.2","W02.2","W03.2","hour","temp"
0.00317802513663983,0.00331281717234732,0.00327243477074957,0.00304626999256743,0.00347540831170882,0.00277784785618582,0.00326121887994869,0.0028587500503516,0.00359435274499219,0,"10C"
0.0251637208215939,0.0200453561325656,0.0186566991358223,0.0216251149270498,0.0295330743955962,0.0268332411859694,0.0223496603448523,0.0195563445782786,0.0173996694032278,11.5,"10C"
0.0251637208215939,0.0200453561325656,0.0186566991358223,0.0216251149270498,0.0295330743955962,0.0268332411859694,0.0223496603448523,0.0195563445782786,0.0173996694032278,24,"10C"
0.0362850535308875,0.0313353060625816,0,0,0.00386390637921154,0.0512400607187102,0.0439738434503112,0.0165196540764162,0.0225044419055893,35.5,"10C"
0.0451048416484146,0.050761695897907,0,0,0.004363819691852,0.0439617994382987,0.0525718519925651,0.0232434311181336,0.0321568479991776,45,"10C"
